1 78-84D 165-171D 181-185D 195-199 304-309 363-370 426-446D 456-458 460-479D 496-512D 553-556 602-602 609-624D 660-688D 720-724D 786-795D 841-853 1023-1025 1058-1068D 1074-1077 1107-1115D 1134-1156D 1204-1216 1423-1430 1434-1440
2 83-91D 105-123 153-160D 197-239D 273-276D 384-391D 404-405 485-485 548-555D 562-570D 573-582 594-594 651-653D 685-695D 795-810D 860-862D 868-875 990-997 1000-1001 1004-1010D 1151-1156 1238-1279D 1297-1342D
3 22-23 75-119D 287-289D 316-317D 366-383D 471-484D 558-565 765-768 775-775 946-953D 1061-1077D 1143-1143 1260-1281D 1350-1360D 1411-1411 1420-1436D
4 105-111 179-187D 198-212 247-253D 257-284D 300-300 325-325 334-334 422-422 488-503D 536-539D 568-578D 810-815D 948-948 964-984D 986-1000D 1027-1028 1049-1067D 1129-1139D 1169-1186D 1261-1300D 1323-1335D 1362-1366 1383-1385D 1415-1415
5 112-167D 186-188D 232-233 403-415D 462-522D 643-660D 675-682D 689-691 708-731D 745-745 769-770D 892-895D 919-920 922-941 966-968 989-996D 1155-1156 1240-1248 1310-1343D 1430-1440D
6 135-135 187-197D 253-272D 285-292 323-328D 342-344 364-380D 422-434D 465-477D 511-511 545-548D 576-578 650-667D 806-806 966-975D 1142-1142 1220-1236 1280-1280 1283-1287 1388-1393D 1435-1435
7 39-40 47-65D 75-75 208-209 220-246D 281-285 354-356 360-383D 405-433D 495-497 513-522D 542-584D 686-704D 715-718 724-725 728-733 772-781D 818-819 841-851D 877-879D 1019-1021 1062-1077D 1178-1185 1189-1189 1263-1271D 1314-1314 1358-1362 1369-1377D 1390-1392
8 6-27D 95-97 100-106 124-131D 226-226 458-471 515-526 534-545D 681-686 748-755 873-894D 961-962 985-987 991-1029D 1047-1047 1076-1081D 1098-1098 1161-1162 1174-1178D 1207-1207 1333-1344D 1348-1364 1428-1437
9 30-48D 50-52 282-283 354-355 372-375 386-392 496-499D 669-693D 828-850D 967-969 1020-1020 1028-1036 1051-1061D 1109-1118D 1183-1185 1236-1261D 1285-1293 1304-1317D 1351-1367D
10 2-8 39-48D 54-70D 145-145 157-170D 182-204D 232-241D 247-257 317-324 358-376D 399-406 453-457 500-501 542-548D 563-577 620-629D 781-804D 806-817D 845-847 873-877 899-924D 965-965 1036-1047 1095-1101D 1147-1158 1231-1235 1334-1340 1346-1349 1397-1399D 1419-1421 1436-1437
Edge
0,1
1,2
1,3
1,4
4,5
4,6
6,7
6,8
5,9
9,10
7,10
2,7
