1 30-31 41-79D 97-204D 212-220 257-269D 275-277 288-289 311-346D 355-362 366-380D 406-431D 439-466D 498-513D 542-568D 661-675D 692-714 730-730 739-739D 742-742 756-761 783-783 794-804D 823-870D 882-886 898-912D 931-958D 1048-1058D 1103-1129D 1131-1165D 1174-1204D 1248-1256D 1261-1299D 1310-1397D
2 11-20 52-107D 112-124D 178-261D 315-315 321-340D 365-382D 431-532D 541-564D 566-584D 611-621D 633-659D 672-673 675-688D 704-740D 759-771 785-795D 861-864 867-868 878-899D 940-948 960-963 1008-1046D 1053-1063D 1079-1090D 1113-1147D 1170-1178D 1193-1200 1238-1243 1251-1265 1269-1272 1294-1385D 1418-1418 1427-1440D
3 2-7 54-71D 106-161D 197-228D 236-238 247-274D 312-318 340-350 354-359D 367-383D 418-451D 454-465 478-493D 527-531 568-582D 589-607D 639-645 671-677D 725-746D 756-825D 835-839D 843-861D 902-973D 976-998D 1044-1067D 1096-1177D 1184-1212D 1243-1247D 1291-1295 1308-1344D 1361-1387D 1402-1405D 1436-1440D
4 2-4 10-11 54-85D 91-96D 98-103D 113-129D 168-198D 221-223 282-298D 313-315 363-374D 392-407 456-463D 573-578 585-614D 620-642D 682-684D 687-706D 713-743D 750-755D 763-790D 800-808D 833-845D 857-864 879-882 899-905D 937-948D 983-1021D 1025-1044D 1070-1071 1075-1095D 1110-1115D 1152-1198D 1202-1212D 1228-1247D 1257-1282D 1297-1303D 1356-1365D 1387-1401D 1419-1428D
5 6-10 31-61D 67-78D 83-93D 149-160D 232-246D 251-289 300-300 313-362D 369-392 416-478D 514-532D 612-613 643-658D 680-690 768-800D 805-826D 830-904D 979-1002D 1008-1051D 1080-1083 1114-1142D 1145-1166D 1180-1183D 1185-1203D 1224-1229 1250-1263 1276-1312D 1330-1372D 1403-1419D 1423-1440D
6 8-29D 45-96D 107-130D 170-172 182-191D 204-221D 255-281D 306-352D 354-363 381-416D 487-490 499-513D 525-526D 547-553 601-606D 608-629D 645-663D 688-711D 732-754D 763-832D 851-853D 856-882D 886-908D 922-938D 976-1064D 1141-1157D 1165-1195D 1197-1207D 1232-1272D 1305-1311 1326-1332D 1343-1344 1357-1414D 1426-1430D
7 24-66D 76-79 130-164D 167-182D 198-225D 287-304D 322-332D 335-336 347-368D 396-400 415-450D 479-507D 535-559D 567-568D 573-589D 591-603D 611-611D 737-749D 784-812D 830-869D 886-943D 961-966 975-978 982-992D 1009-1035D 1051-1056D 1092-1094 1105-1117D 1137-1141D 1143-1152D 1181-1200D 1207-1228D 1257-1261 1268-1274 1294-1299D 1304-1312 1338-1344 1349-1396D 1409-1418D 1431-1440D
8 1-22D 31-94D 106-117 173-175 218-219D 228-232D 239-244D 308-308 337-348D 374-405D 456-474D 529-539D 582-586 592-603D 628-635 641-646 680-695D 704-735D 741-754D 810-820D 835-843D 852-864D 877-954D 969-996D 1020-1069D 1104-1109D 1117-1125D 1151-1162D 1166-1178D 1196-1240D 1253-1269D 1283-1298 1352-1366D 1370-1379D 1409-1416D 1427-1429 1433-1440D
9 24-117D 143-170D 188-193D 217-222D 233-260D 262-297D 340-358D 447-461 485-525D 552-556 591-593 614-630D 632-637D 641-667D 683-741D 749-754D 766-769 796-838D 843-850 853-856 862-875D 904-940D 943-977D 983-1011D 1020-1072D 1083-1121D 1152-1173D 1241-1245D 1298-1307 1313-1353D 1363-1376 1379-1421D
10 8-58D 68-71 83-113D 118-119 141-153D 157-185D 209-236D 254-286D 296-325D 399-421 438-456D 458-481D 487-500D 502-507 521-570D 597-611D 648-673 677-773D 775-786D 790-810D 837-841D 849-890D 922-935D 997-1005D 1012-1047D 1054-1067D 1119-1149D 1221-1223 1258-1292D 1297-1297D 1301-1307D 1320-1333D 1335-1374D 1378-1396D 1414-1418 1420-1420
Edge
0,1
1,2
1,3
1,4
4,5
4,6
6,7
6,8
5,9
9,10
7,10
2,7
